schyear,gradeACCT,gradeART,gradeCED,gradeCH,gradeED,gradeEM,gradeLS,gradeMTHSC,gradeMUSIC,gradePHYS,gradeTHRD,nstudentsACCT,nstudentsART,nstudentsCED,nstudentsCH,nstudentsED,nstudentsEM,nstudentsLS,nstudentsMTHSC,nstudentsMUSIC,nstudentsPHYS,nstudentsTHRD
1982,2.089362,3.136364,3.698603,2.293907,3.439316,2.525506,3.477865,2.427298,3.418072,2.34208,3.229592,3625,376,501,3960,3338,2115,768,9801,1119,3456,909
1983,2.176828,3.008929,3.720389,2.268253,3.418349,2.537291,3.55144,2.501849,3.339973,2.383794,3.132637,3468,335,633,3784,3021,2223,729,9617,1376,3276,921
1984,2.403558,3.163022,3.81958,2.305327,3.471547,2.546019,3.551683,2.572157,3.365575,2.387946,3.11368,3689,336,861,3908,3155,1910,832,9840,1208,3205,920
1985,2.394701,3.209302,3.557983,2.135961,3.408243,2.470143,3.700913,2.437502,3.217645,2.288496,3.081525,4074,387,713,3701,3242,1828,876,9836,1305,3016,1072
1986,2.293759,3.232387,3.574338,2.164248,3.454809,2.550128,3.651189,2.426553,3.146375,2.37644,3.140157,4066,317,732,3509,3256,1738,883,9794,1254,2906,914
1987,2.313371,3.268018,3.596594,2.200459,3.55788,2.377671,3.736313,2.421635,3.264727,2.382669,3.243566,4195,445,827,3831,3531,1849,895,10416,1276,2999,888
1988,2.332209,3.194444,3.609987,2.17372,3.553221,2.517597,3.820598,2.295262,3.330631,2.322155,3.294652,4606,477,909,3765,4492,1952,903,10922,1520,3123,935
1989,2.324682,3.341986,3.523186,2.14739,3.651119,2.459579,3.827231,2.294009,3.267814,2.278224,3.355476,4689,508,821,4109,4983,2040,874,11104,1538,3426,1020
1990,2.354736,3.293023,3.595454,2.220666,3.644526,2.392625,3.862539,2.336732,3.339153,2.368,3.286939,4879,569,696,4281,5529,2137,953,10970,1910,3356,1005
1991,2.352878,3.376989,3.76539,2.288982,3.616067,2.335036,3.879917,2.362864,3.358878,2.280681,3.313123,4433,532,568,4474,6234,2214,966,10712,1943,3564,1137
1992,2.402104,3.401146,3.888228,2.305636,3.633885,2.265056,3.931796,2.419118,3.251559,2.291732,3.383585,3879,573,712,4985,5986,2084,1041,10294,1858,3579,1124
1993,2.572107,3.311603,3.819778,2.306203,3.675809,2.359461,3.906692,2.40191,3.380421,2.335107,3.265419,3667,539,707,4634,6172,2174,1061,9080,1903,3395,1068
1994,2.644781,3.289827,3.821196,2.352755,3.678215,2.404927,3.908144,2.337469,3.410676,2.305647,3.354717,3245,513,624,4665,5905,2033,1056,9008,1709,3200,1035
1995,2.457074,3.464394,3.8609,2.413523,3.653434,2.475862,3.922777,2.342654,3.421725,2.326275,3.449317,2798,539,691,4650,5773,1647,1282,9117,1837,2910,1125
1996,2.369669,3.423738,3.70186,2.390192,3.590413,2.415259,3.937364,2.370263,3.438255,2.442754,3.406582,2668,622,667,4708,5327,1410,1681,9281,1904,2614,948
1997,2.421699,3.36386,3.856759,2.406652,3.557281,2.27623,3.905257,2.381943,3.512469,2.572158,3.316154,2840,665,547,4567,5284,1126,1547,9348,2053,2676,946
1998,2.448784,3.337669,3.677785,2.489735,3.527505,2.419729,3.901444,2.401122,3.574607,2.634815,3.369933,3005,594,505,4869,5386,1034,1375,9798,1916,2679,1026
1999,2.327434,3.507417,3.697657,2.561661,3.602235,2.398876,3.929872,2.360279,3.599805,2.596497,3.398882,3357,641,443,5060,5040,1068,1433,10614,1998,2883,1047
2000,2.433754,3.498657,3.723138,2.476342,3.673155,2.408475,3.950696,2.385551,3.655153,2.729233,3.53891,3445,605,521,5095,4860,1180,1724,11067,2244,3150,1011
2001,2.483533,3.30983,3.655577,2.74603,3.654268,2.240506,3.937149,2.505702,3.707604,2.557,3.474772,3116,626,561,4963,5160,1185,1782,10434,2075,2987,1189
